Date,Passage1,Passage2,Passage3,Passage4,Passage5
2024-05-04,Num 20, Ps 50-51, Isa 2, 2 Pe 1-2,
2024-05-05,Num 21, Ps 52, Isa 3, 2 Pe 3,
2024-05-06,Num 22, Ps 53, Isa 4, 1 Jn 1,
2024-05-07,Num 23, Ps 54, Isa 5, 1 Jn 2,
2024-05-08,Num 24-25, Ps 55, Isa 6, 1 Jn 3,
2024-05-09,Num 26, Ps 56, Isa 7, 1 Jn 4,
2024-05-10,Num 27, Ps 57, Isa 8, 1 Jn 5,
2024-05-11,Num 28, Ps 58, Isa 9, 2 Jn,
2024-05-12,Num 29, Ps 59, Isa 10, 3 Jn,
2024-05-13,Num 30, Ps 60-61, Isa 11, Jude, Rev 1
2024-05-14,Num 31, Ps 62, Isa 12, Rev 2,
2024-05-15,Num 32, Ps 63, Isa 13, Rev 3,
2024-05-16,Num 33, Ps 64, Isa 14, Rev 4,
2024-05-17,Num 34, Ps 65, Isa 15, Rev 5,
2024-05-18,Num 35-36, Ps 66, Isa 16, Rev 6,
2024-05-19,Deut 1, Ps 67, Isa 17, Rev 7,
2024-05-20,Deut 2, Ps 68, Isa 18, Rev 8,
2024-05-21,Deut 3, Ps 69-70, Isa 19, Rev 9-10,
2024-05-22,Deut 4, Ps 71, Isa 20, Rev 11,
2024-05-23,Deut 5, Ps 72, Isa 21, Rev 12,
2024-05-24,Deut 6, Ps 73, Isa 22, Rev 13,
2024-05-25,Deut 7, Ps 74, Isa 23, Rev 14,
2024-05-26,Deut 8, Ps 75, Isa 24-25, Rev 15,
2024-05-27,Deut 9, Ps 76, Isa 26, Rev 16,
2024-05-28,Deut 10-11, Ps 77, Isa 27, Rev 17,
2024-05-29,Deut 12, Ps 78-79, Isa 28, Rev 18-19,
2024-05-30,Deut 13, Ps 80, Isa 29, Rev 20,
2024-05-31,Deut 14, Ps 81, Isa 30, Rev 21,
2024-06-01,Deut 15, Ps 82, Isa 31, Rev 22,
2024-06-02,Deut 16, Ps 83, Isa 32, Mat 1,
2024-06-03,Deut 17, Ps 84, Isa 33, Mat 2,
2024-06-04,Deut 18, Ps 85, Isa 34, Mat 3,
2024-06-05,Deut 19, Ps 86, Isa 35, Mat 4,
2024-06-06,Deut 20, Ps 87, Isa 36, Mat 5,
2024-06-07,Deut 21-22, Ps 88-89, Isa 37, Mat 6-7,
2024-06-08,Deut 23, Ps 90, Isa 38, Mat 8,
2024-06-09,Deut 24, Ps 91, Isa 39, Mat 9,
2024-06-10,Deut 25, Ps 92, Isa 40, Mat 10,
2024-06-11,Deut 26, Ps 93, Isa 41, Mat 11,
2024-06-12,Deut 27, Ps 94, Isa 42, Mat 12,
2024-06-13,Deut 28, Ps 95, Isa 43, Mat 13,
2024-06-14,Deut 29, Ps 96, Isa 44, Mat 14,
2024-06-15,Deut 30, Ps 97-98, Isa 45, Mat 15-16,
2024-06-16,Deut 31, Ps 99, Isa 46, Mat 17,
2024-06-17,Deut 32-33, Ps 100, Isa 47, Mat 18,
2024-06-18,Deut 34, Ps 101, Isa 48, Mat 19,
2024-06-19,Josh 1, Ps 102, Isa 49, Mat 20,
2024-06-20,Josh 2, Ps 103, Isa 50, Mat 21,
2024-06-21,Josh 3, Ps 104, Isa 51, Mat 22,
2024-06-22,Josh 4, Ps 105, Isa 52, Mat 23,
2024-06-23,Josh 5, Ps 106-107, Isa 53, Mat 24-25,
2024-06-24,Josh 6, Ps 108, Isa 54, Mat 26,
2024-06-25,Josh 7, Ps 109, Isa 55, Mat 27,
2024-06-26,Josh 8, Ps 110, Isa 56, Mat 28,
2024-06-27,Josh 9-10, Ps 111, Isa 57, Mk 1,
2024-06-28,Josh 11, Ps 112, Isa 58, Mk 2,
2024-06-29,Josh 12, Ps 113, Isa 59, Mk 3,
2024-06-30,Josh 13, Ps 114, Isa 60, Mk 4,
2024-07-01,Josh 14, Ps 115, Isa 61-62, Mk 5,
2024-07-02,Josh 15, Ps 116-117, Isa 63, Mk 6-7,
2024-07-03,Josh 16, Ps 118, Isa 64, Mk 8,
2024-07-04,Josh 17, Ps 119, Isa 65, Mk 9,
2024-07-05,Josh 18, Ps 120, Isa 66, Mk 10,
2024-07-06,Josh 19-20, Ps 121, Jer 1, Mk 11,
2024-07-07,Josh 21, Ps 122, Jer 2, Mk 12,
2024-07-08,Josh 22, Ps 123, Jer 3, Mk 13,
2024-07-09,Josh 23, Ps 124, Jer 4, Mk 14,
2024-07-10,Josh 24, Ps 125-126, Jer 5, Mk 15-16,
2024-07-11,Jdg 1, Ps 127, Jer 6, Ps 1,
2024-07-12,Jdg 2, Ps 128, Jer 7, Ps 2,
2024-07-13,Jdg 3, Ps 129, Jer 8, Ps 3,
2024-07-14,Jdg 4, Ps 130, Jer 9, Ps 4,
2024-07-15,Jdg 5, Ps 131, Jer 10, Ps 5,
2024-07-16,Jdg 6-7, Ps 132, Jer 11, Ps 6,
2024-07-17,Jdg 8, Ps 133, Jer 12, Ps 7,
2024-07-18,Jdg 9, Ps 134-135, Jer 13, Ps 8-9,
2024-07-19,Jdg 10, Ps 136, Jer 14, Ps 10,
2024-07-20,Jdg 11, Ps 137, Jer 15, Ps 11,
2024-07-21,Jdg 12, Ps 138, Jer 16, Ps 12,
2024-07-22,Jdg 13, Ps 139, Jer 17, Ps 13,
2024-07-23,Jdg 14, Ps 140, Jer 18, Ps 14,
2024-07-24,Jdg 15, Ps 141, Jer 19, Ps 15,
2024-07-25,Jdg 16, Ps 142, Jer 20, Ps 16,
2024-07-26,Jdg 17-18, Ps 143-144, Jer 21, Ps 17-18,
2024-07-27,Jdg 19, Ps 145, Jer 22, Ps 19,
2024-07-28,Jdg 20, Ps 146, Jer 23, Ps 20,
2024-07-29,Jdg 21, Ps 147, Jer 24, Ps 21,
2024-07-30,Rut 1, Ps 148, Jer 25, Ps 22,
2024-07-31,Rut 2, Ps 149, Jer 26, Ps 23,
2024-08-01,Rut 3, Ps 150, Jer 27, Ps 24,
2024-08-02,Rut 4, Acts 1, Jer 28, Ps 25,
2024-08-03,1 Sa 1, Acts 2, Jer 29, Ps 26,
2024-08-04,1 Sa 2, Acts 3-4, Jer 30, Ps 27-28,
2024-08-05,1 Sa 3-4, Acts 5, Jer 31, Ps 29,
2024-08-06,1 Sa 5, Acts 6, Jer 32, Ps 30,
2024-08-07,1 Sa 6, Acts 7, Jer 33-34, Ps 31,
2024-08-08,1 Sa 7, Acts 8, Jer 35, Ps 32,
2024-08-09,1 Sa 8, Acts 9, Jer 36, Ps 33,
2024-08-10,1 Sa 9, Acts 10, Jer 37, Ps 34,
2024-08-11,1 Sa 10, Acts 11, Jer 38, Ps 35,
2024-08-12,1 Sa 11, Acts 12-13, Jer 39, Ps 36-37,
2024-08-13,1 Sa 12, Acts 14, Jer 40, Ps 38,
2024-08-14,1 Sa 13, Acts 15, Jer 41, Ps 39,
2024-08-15,1 Sa 14-15, Acts 16, Jer 42, Ps 40,
2024-08-16,1 Sa 16, Acts 17, Jer 43, Ps 41,
2024-08-17,1 Sa 17, Acts 18, Jer 44, Ps 42,
2024-08-18,1 Sa 18, Acts 19, Jer 45, Ps 43,
2024-08-19,1 Sa 19, Acts 20, Jer 46, Ps 44,
2024-08-20,1 Sa 20, Acts 21-22, Jer 47, Ps 45-46,
2024-08-21,1 Sa 21, Acts 23, Jer 48, Ps 47,
2024-08-22,1 Sa 22, Acts 24, Jer 49, Ps 48,
2024-08-23,1 Sa 23, Acts 25, Jer 50, Ps 49,
2024-08-24,1 Sa 24, Acts 26, Jer 51, Ps 50,
2024-08-25,1 Sa 25-26, Acts 27, Jer 52, Ps 51,
2024-08-26,1 Sa 27, Acts 28, Lam 1, Ps 52,
2024-08-27,1 Sa 28, Rom 1, Lam 2, Ps 53,
2024-08-28,1 Sa 29, Rom 2, Lam 3, Ps 54,
2024-08-29,1 Sa 30, Rom 3-4, Lam 4, Ps 55-56,
2024-08-30,1 Sa 31, Rom 5, Lam 5, Ps 57,
2024-08-31,2 Sa 1, Rom 6, Eze 1, Ps 58,
2024-09-01,2 Sa 2, Rom 7, Eze 2, Ps 59,
2024-09-02,2 Sa 3, Rom 8, Eze 3, Ps 60,
2024-09-03,2 Sa 4, Rom 9, Eze 4, Ps 61,
2024-09-04,2 Sa 5-6, Rom 10, Eze 5, Ps 62,
2024-09-05,2 Sa 7, Rom 11, Eze 6, Ps 63,
2024-09-06,2 Sa 8, Rom 12-13, Eze 7, Ps 64-65,
2024-09-07,2 Sa 9, Rom 14, Eze 8, Ps 66,
2024-09-08,2 Sa 10, Rom 15, Eze 9, Ps 67,
2024-09-09,2 Sa 11, Rom 16, Eze 10, Ps 68,
2024-09-10,2 Sa 12, 1 Co 1, Eze 11, Ps 69,
2024-09-11,2 Sa 13, 1 Co 2, Eze 12, Ps 70,
2024-09-12,2 Sa 14, 1 Co 3, Eze 13, Ps 71,
2024-09-13,2 Sa 15, 1 Co 4, Eze 14-15, Ps 72,
2024-09-14,2 Sa 16-17, 1 Co 5-6, Eze 16, Ps 73-74,
2024-09-15,2 Sa 18, 1 Co 7, Eze 17, Ps 75,
2024-09-16,2 Sa 19, 1 Co 8, Eze 18, Ps 76,
2024-09-17,2 Sa 20, 1 Co 9, Eze 19, Ps 77,
2024-09-18,2 Sa 21, 1 Co 10, Eze 20, Ps 78,
2024-09-19,2 Sa 22, 1 Co 11, Eze 21, Ps 79,
2024-09-20,2 Sa 23, 1 Co 12, Eze 22, Ps 80,
2024-09-21,2 Sa 24, 1 Co 13, Eze 23, Ps 81,
2024-09-22,1 Kgs 1, 1 Co 14, Eze 24, Ps 82,
2024-09-23,1 Kgs 2, 1 Co 15-16, Eze 25, Ps 83-84,
2024-09-24,1 Kgs 3-4, 2 Co 1, Eze 26, Ps 85,
2024-09-25,1 Kgs 5, 2 Co 2, Eze 27, Ps 86,
2024-09-26,1 Kgs 6, 2 Co 3, Eze 28, Ps 87,
2024-09-27,1 Kgs 7, 2 Co 4, Eze 29, Ps 88,
2024-09-28,1 Kgs 8, 2 Co 5, Eze 30, Ps 89,
2024-09-29,1 Kgs 9, 2 Co 6, Eze 31, Ps 90,
2024-09-30,1 Kgs 10, 2 Co 7, Eze 32, Ps 91,
2024-10-01,1 Kgs 11, 2 Co 8-9, Eze 33, Ps 92-93,
2024-10-02,1 Kgs 12, 2 Co 10, Eze 34, Ps 94,
2024-10-03,1 Kgs 13-14, 2 Co 11, Eze 35, Ps 95,
2024-10-04,1 Kgs 15, 2 Co 12, Eze 36, Ps 96,
2024-10-05,1 Kgs 16, 2 Co 13, Eze 37, Ps 97,
2024-10-06,1 Kgs 17, Gal 1, Eze 38, Ps 98,
2024-10-07,1 Kgs 18, Gal 2, Eze 39, Ps 99,
2024-10-08,1 Kgs 19, Gal 3, Eze 40, Ps 100,
2024-10-09,1 Kgs 20, Gal 4-5, Eze 41, Ps 101-102,
2024-10-10,1 Kgs 21, Gal 6, Eze 42, Ps 103,
2024-10-11,1 Kgs 22, Eph 1, Eze 43, Ps 104,
2024-10-12,2 Kgs 1, Eph 2, Eze 44, Ps 105,
2024-10-13,2 Kgs 2-3, Eph 3, Eze 45, Ps 106,
2024-10-14,2 Kgs 4, Eph 4, Eze 46, Ps 107,
2024-10-15,2 Kgs 5, Eph 5, Eze 47, Ps 108,
2024-10-16,2 Kgs 6, Eph 6, Eze 48, Ps 109,
2024-10-17,2 Kgs 7, Phil 1, Dan 1, Ps 110,
2024-10-18,2 Kgs 8, Phil 2-3, Dan 2, Ps 111-112,
2024-10-19,2 Kgs 9, Phil 4, Dan 3-4, Ps 113,
2024-10-20,2 Kgs 10, Col 1, Dan 5, Ps 114,
2024-10-21,2 Kgs 11, Col 2, Dan 6, Ps 115,
2024-10-22,2 Kgs 12, Col 3, Dan 7, Ps 116,
2024-10-23,2 Kgs 13-14, Col 4, Dan 8, Ps 117,
2024-10-24,2 Kgs 15, 1 Th 1, Dan 9, Ps 118,
2024-10-25,2 Kgs 16, 1 Th 2, Dan 10, Ps 119,
2024-10-26,2 Kgs 17, 1 Th 3-4, Dan 11, Ps 120-121,
2024-10-27,2 Kgs 18, 1 Th 5, Dan 12, Ps 122,
2024-10-28,2 Kgs 19, 2 Th 1, Hos 1, Ps 123,
2024-10-29,2 Kgs 20, 2 Th 2, Hos 2, Ps 124,
2024-10-30,2 Kgs 21, 2 Th 3, Hos 3, Ps 125,
2024-10-31,2 Kgs 22, 1 Ti 1, Hos 4, Ps 126,
2024-11-01,2 Kgs 23, 1 Ti 2, Hos 5, Ps 127,
2024-11-02,2 Kgs 24-25, 1 Ti 3, Hos 6, Ps 128,
2024-11-03,1 Chr 1, 1 Ti 4-5, Hos 7, Ps 129-130,
2024-11-04,1 Chr 2, 1 Ti 6, Hos 8, Ps 131,
2024-11-05,1 Chr 3, 2 Ti 1, Hos 9, Ps 132,
2024-11-06,1 Chr 4, 2 Ti 2, Hos 10, Ps 133,
2024-11-07,1 Chr 5, 2 Ti 3, Hos 11, Ps 134,
2024-11-08,1 Chr 6, 2 Ti 4, Hos 12, Ps 135,
2024-11-09,1 Chr 7, Tit 1, Hos 13, Ps 136,
2024-11-10,1 Chr 8, Tit 2, Hos 14, Ps 137,
2024-11-11,1 Chr 9, Tit 3, Joe 1, Ps 138,
2024-11-12,1 Chr 10-11, Phlm, Heb 1, Joe 2, Ps 139-140
2024-11-13,1 Chr 12, Heb 2, Joe 3, Ps 141,
2024-11-14,1 Chr 13, Heb 3, Amo 1, Ps 142,
2024-11-15,1 Chr 14, Heb 4, Amo 2, Ps 143,
2024-11-16,1 Chr 15, Heb 5, Amo 3, Ps 144,
2024-11-17,1 Chr 16, Heb 6, Amo 4, Ps 145,
2024-11-18,1 Chr 17, Heb 7, Amo 5, Ps 146,
2024-11-19,1 Chr 18, Heb 8, Amo 6, Ps 147,
2024-11-20,1 Chr 19, Heb 9-10, Amo 7, Ps 148-149,
2024-11-21,1 Chr 20, Heb 11, Amo 8, Ps 150,
2024-11-22,1 Chr 21-22, Heb 12, Amo 9, Luk 1,
2024-11-23,1 Chr 23, Heb 13, Oba, Luk 2,
2024-11-24,1 Chr 24, Jam 1, Jon 1, Luk 3,
2024-11-25,1 Chr 25, Jam 2, Jon 2-3, Luk 4,
2024-11-26,1 Chr 26, Jam 3, Jon 4, Luk 5,
2024-11-27,1 Chr 27, Jam 4, Mic 1, Luk 6,
2024-11-28,1 Chr 28, Jam 5, 1 Pe 1, Mic 2, Luk 7-8
2024-11-29,1 Chr 29, 1 Pe 2, Mic 3, Luk 9,
2024-11-30,2 Chr 1, 1 Pe 3, Mic 4, Luk 10,
2024-12-01,2 Chr 2, 1 Pe 4, Mic 5, Luk 11,
2024-12-02,2 Chr 3-4, 1 Pe 5, Mic 6, Luk 12,
2024-12-03,2 Chr 5, 2 Pe 1, Mic 7, Luk 13,
2024-12-04,2 Chr 6, 2 Pe 2, Nah 1, Luk 14,
2024-12-05,2 Chr 7, 2 Pe 3, Nah 2, Luk 15,
2024-12-06,2 Chr 8, 1 Jn 1, Nah 3, Luk 16,
2024-12-07,2 Chr 9, 1 Jn 2-3, Hab 1, Luk 17-18,
2024-12-08,2 Chr 10, 1 Jn 4, Hab 2, Luk 19,
2024-12-09,2 Chr 11, 1 Jn 5, Hab 3, Luk 20,
2024-12-10,2 Chr 12, 2 Jn, Zep 1, Luk 21,
2024-12-11,2 Chr 13, 3 Jn, Zep 2, Luk 22,
2024-12-12,2 Chr 14-15, Jude, Zep 3, Luk 23,
2024-12-13,2 Chr 16, Rev 1, Hag 1, Luk 24,
2024-12-14,2 Chr 17, Rev 2, Hag 2, John 1,
2024-12-15,2 Chr 18, Rev 3-4, Zec 1, John 2-3,
2024-12-16,2 Chr 19, Rev 5, Zec 2, John 4,
2024-12-17,2 Chr 20, Rev 6, Zec 3, John 5,
2024-12-18,2 Chr 21, Rev 7, Zec 4, John 6,
2024-12-19,2 Chr 22, Rev 8, Zec 5, John 7,
2024-12-20,2 Chr 23, Rev 9, Zec 6, John 8,
2024-12-21,2 Chr 24, Rev 10, Zec 7, John 9,
2024-12-22,2 Chr 25-26, Rev 11, Zec 8, John 10,
2024-12-23,2 Chr 27, Rev 12-13, Zec 9, John 11-12,
2024-12-24,2 Chr 28, Rev 14, Zec 10, John 13,
2024-12-25,2 Chr 29, Rev 15, Zec 11, John 14,
2024-12-26,2 Chr 30, Rev 16, Zec 12, John 15,
2024-12-27,2 Chr 31, Rev 17, Zec 13, John 16,
2024-12-28,2 Chr 32, Rev 18, Zec 14, John 17,
2024-12-29,2 Chr 33, Rev 19, Mal 1, John 18,
2024-12-30,2 Chr 34, Rev 20, Mal 2, John 19,
2024-12-31,2 Chr 35-36, Rev 21-22, Mal 3-4, John 20-21,
